metric, gnomAD_SAS,1KG_AFR,1KG_AMR,1KG_EAS,1KG_EAS_CDX,1KG_EAS_CHB,1KG_EAS_CHS,1KG_EAS_JPT,1KG_EAS_KHV,1KG_EUR,1KG_SAS,East Asia,Northeast Asia,OSEA,gnomAD_AFR,gnomAD_AMR,gnomAD_EAS,gnomAD_EUR
ref_homozygote_count,nan,0,3,236,35,42,49,52,58,1,1,56,11,0,35,134,12473,797
heterozygote_count,nan,2,33,214,40,46,46,45,37,26,19,51,19,4,861,3404,8409,32945
alt_homozygote_count,nan,641,304,45,13,13,7,5,7,484,475,19,14,10,36606,26462,1547,556257
chi2_2x3,nan,34.87487409482436,25.191790938069435,65530.03036846539,10113.741928042851,12561.689984353598,16691.5047959572,18682.354246158586,22904.897399918755,0.373865398949417,3.0111836622581674,17468.666654481505,2115.9319050637755,14.041490896998056,753.6093431654962,1913.763336268817,357595.99299024453,nan
p_chi2_2x3,nan,2.6731129617186697e-08,3.3858842184497984e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.8294995602630294,0.22188593596093747,0.0,0.0,0.00089315944026165,2.2688739888611103e-164,0.0,0.0,nan
min_expected_2x3,nan,0.867650793543297,0.4607522118647082,0.8659444465142745,0.12407661921038762,0.14360108456193865,0.14623259408135217,0.146751149379513,0.14778825997583464,0.6905522345091532,0.6689483720410369,0.1821275153569159,0.06025323578112104,0.01891144771386393,49.723688089740094,45.048459755580254,485.9882794385626,nan
p_fisher_carrier_2x2,nan,1.0,0.011486958249988109,0.0,3.166827543366164e-76,4.1432118670850565e-92,3.876585439889948e-111,1.22452025930945e-119,4.407251573760789e-137,0.4990845876074554,0.4881282348725318,3.6666050030127837e-124,2.1835213778876353e-22,1.0,0.0333409736586963,7.075100411285883e-29,0.0,nan
primary_p,nan,1.0,0.011486958249988109,0.0,3.166827543366164e-76,4.1432118670850565e-92,3.876585439889948e-111,1.22452025930945e-119,4.407251573760789e-137,0.4990845876074554,0.4881282348725318,3.6666050030127837e-124,2.1835213778876353e-22,1.0,2.2688739888611103e-164,0.0,0.0,nan
primary_test,MISSING,fisher_2x2_carrier,fisher_2x2_carrier,fisher_2x2_carrier,fisher_2x2_carrier,fisher_2x2_carrier,fisher_2x2_carrier,fisher_2x2_carrier,fisher_2x2_carrier,fisher_2x2_carrier,fisher_2x2_carrier,fisher_2x2_carrier,fisher_2x2_carrier,fisher_2x2_carrier,chi2_2x3,chi2_2x3,chi2_2x3,NA
