metric, gnomAD_SAS,1KG_AFR,1KG_AMR,1KG_EAS,1KG_EAS_CDX,1KG_EAS_CHB,1KG_EAS_CHS,1KG_EAS_JPT,1KG_EAS_KHV,1KG_EUR,1KG_SAS,East Asia,Northeast Asia,OSEA,gnomAD_AFR,gnomAD_AMR,gnomAD_EAS,gnomAD_EUR
other_allele_count (T),4450,2,39,686,110,130,144,149,153,28,21,163,41,34,931,3672,33355,34539
effect_allele_count (C),86628,1284,641,304,66,72,60,55,51,994,969,89,47,104,74073,56328,11503,1145459
total_allele_count,91078,1286,680,990,176,202,204,204,204,1022,990,252,88,138,75004,60000,44858,1179998
OR_vs_gnomAD_ref,0.5869326876310672,15.492817598527054,0.4897065049916041,0.013374669631645075,0.018146617084346235,0.016751889622558556,0.012624780483713679,0.011194072062164545,0.010116613472385525,1.0521950039769148,1.3597080269919504,0.016505990325346685,0.034512929222379675,0.09133421559429751,2.397818542911287,0.4624903652247028,0.010399174111963071,1.0
SE,0.0163114306776431,0.6330942571300767,0.16402782544683442,0.06906925408220911,0.15529711237369756,0.14658023082362895,0.15322912978849204,0.15727939025730833,0.16112715190060828,0.19006071421135684,0.21811215645438267,0.1316024987589619,0.21255315215754006,0.1964299127113734,0.033419497019517026,0.01788497836371878,0.012113442904936841,nan
logOR,0.5684649951762921,4.479501607068091,0.3550688464625927,0.01168127174836297,0.013384560170458921,0.012568752994405434,0.009349590010512976,0.008224493819986193,0.007377019926133183,0.7249587388198416,0.8867166139076154,0.012753203149619755,0.022753747012308246,0.062148261725718495,2.2457895890542123,0.44655883778803,0.010155181243556024,0.0
lowerCL,0.6060003390410958,53.583505085140835,0.675397076990129,0.015313554175359173,0.024602953508527266,0.0223272591999617,0.01704728037087616,0.015235861571009502,0.013873606032578388,1.5271411559177122,2.0850020059046335,0.021363081370546634,0.05234928044443234,0.1342264241442737,2.560139112208885,0.4789902691998911,0.01064902926075742,nan
upperCL,-0.5328451375674041,2.740376535790978,-0.7139490367361901,-4.314392686942879,-4.009271122180804,-4.089244213786924,-4.372093691400496,-4.4923709209631575,-4.593576308242366,0.0508784621346171,0.30726999066428434,-4.104031913941303,-3.366421265080862,-2.3932298015172533,0.8745593835634107,-0.7711295541932337,-4.566028888299377,nan
z,-32.66697741588888,4.3285442964110405,-4.352609289255006,-62.464735492983735,-25.816778309007685,-27.8976516192505,-28.533045233862925,-28.562998073769617,-28.50901448984791,0.2676958378575688,1.4087705869275962,-31.185060714220104,-15.838020894584236,-12.183632159088589,26.16913662861733,-43.11604624345179,-376.93898622649135,nan
p_fisher,9.858014640665516e-207,3.578083428657025e-14,9.027012828662492e-05,0.0,7.850963404815093e-121,5.274309096233754e-145,9.532574577900124e-170,2.3139681581271717e-179,3.021086221990168e-187,0.8523610568455494,0.15586752635252077,6.844202161006634e-182,7.465968253804361e-39,8.3258353357447585e-22,3.6546157918780096e-199,0.0,0.0,nan
chi2,1091.188653011058,34.76249356001034,18.852651256537662,15055.875218714667,2191.5081010537165,2672.9608080480934,3273.6193425233173,3514.592884603202,3713.5073982667077,0.1260975169025673,2.261126081342911,3366.9705706731984,589.7931163470204,228.708189604453,729.7149716764382,1949.0584667916085,421128.6994056175,nan
p_chi2,2.7163622621735062e-239,3.724806574893629e-09,1.4121468454673138e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.7225130871445442,0.1326575678583081,0.0,2.7791309424456063e-130,1.1404290411472441e-51,1.0331836418178641e-160,0.0,0.0,nan
min_expected,2793.7276307632274,37.602918519170665,19.91486247732235,29.52845414178637,5.167224494015289,5.93385697339434,5.995017802037278,5.9958820608675465,5.996573467931761,29.912680564258014,28.970997165085503,7.409365812327897,2.5786595214247097,4.042817099046212,2119.8307891142804,1848.9223369715112,2486.4874336248504,nan
primary_p,2.7163622621735062e-239,3.724806574893629e-09,1.4121468454673138e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.7225130871445442,0.1326575678583081,0.0,7.465968253804361e-39,8.3258353357447585e-22,1.0331836418178641e-160,0.0,0.0,nan
primary_test,chi2,chi2,chi2,chi2,chi2,chi2,chi2,chi2,chi2,chi2,chi2,chi2,fisher,fisher,chi2,chi2,chi2,NA
